stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
384310,,"油小路丹波橋・アクト京都前","油小路丹波橋・アクト京都前(南行南詰)",34.93923810,135.75158294,384310,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu384.htm,0,,,,B
384320,,"油小路丹波橋・アクト京都前","油小路丹波橋・アクト京都前(南行北詰)",34.94154087,135.75170503,384320,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu384.htm,0,,,,
384400,,"油小路丹波橋・アクト京都前","油小路丹波橋・アクト京都前(北行)",34.94047914,135.75122974,384400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu384.htm,0,,,,C
385100,,"城南宮東口","城南宮東口(東行)",34.95155797,135.75305558,385100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu385.htm,0,,,,
385300,,"城南宮東口","城南宮東口(南行)",34.95078714,135.75225303,385300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu385.htm,0,,,,
385400,,"城南宮東口","城南宮東口(北行)",34.94993700,135.75175234,385400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu385.htm,0,,,,
386300,,"桂坂口","桂坂口(南行)",34.97689407,135.66697149,386300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu386.htm,0,,,,
386400,,"桂坂口","桂坂口(北行)",34.97648334,135.66696200,386400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu386.htm,0,,,,
387300,,"中桂","中桂(南行)",34.98418815,135.70730430,387300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu387.htm,0,,,,
387400,,"中桂","中桂(北行)",34.98414255,135.70708838,387400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu387.htm,0,,,,
388300,,"桂徳大寺","桂徳大寺(南行)",34.98838883,135.70481694,388300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu388.htm,0,,,,A
388400,,"桂徳大寺","桂徳大寺(北行)",34.98823611,135.70465876,388400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu388.htm,0,,,,
389300,,"上桂東ノ口","上桂東ノ口(南行)",34.99088593,135.70382748,389300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu389.htm,0,,,,
389400,,"上桂東ノ口","上桂東ノ口(北行)",34.99029876,135.70381595,389400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu389.htm,0,,,,B
390300,,"竹田内畑町","竹田内畑町(南行)",34.95445445,135.75234418,390300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu390.htm,0,,,,
390400,,"竹田内畑町","竹田内畑町(北行)",34.95396144,135.75188160,390400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu390.htm,0,,,,
391300,,"烏丸札ノ辻","烏丸札ノ辻(南行)",34.97636748,135.75979854,391300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu391.htm,0,,,,
391400,,"烏丸札ノ辻","烏丸札ノ辻(北行)",34.97645036,135.75961354,391400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu391.htm,0,,,,
392100,,"丸太町京阪前","丸太町京阪前(東行)",35.01764359,135.77373677,392100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu392.htm,0,,,,A
392200,,"丸太町京阪前","丸太町京阪前(西行)",35.01747547,135.77388707,392200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu392.htm,0,,,,B
393100,,"川端二条","川端二条(東行)",35.01356817,135.77316695,393100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu393.htm,0,,,,
393200,,"川端二条","川端二条(西行)",35.01345623,135.77315925,393200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu393.htm,0,,,,
