service_id,date,exception_type
O_0001_4,20260330,1
O_0001_1,20260330,2
O_0001_4,20260331,1
O_0001_1,20260331,2
O_0001_4,20260401,1
O_0001_5,20260401,2
O_0001_4,20260402,1
O_0001_1,20260402,2
O_0001_4,20260403,1
O_0001_1,20260403,2
O_0002_4,20260330,1
O_0002_1,20260330,2
O_0002_4,20260331,1
O_0002_1,20260331,2
O_0002_4,20260401,1
O_0002_5,20260401,2
O_0002_4,20260402,1
O_0002_1,20260402,2
O_0002_4,20260403,1
O_0002_1,20260403,2
