service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
O_0001_1,1,1,0,1,1,0,0,20260328,20260405
O_0001_2,0,0,0,0,0,1,0,20260328,20260405
O_0001_3,0,0,0,0,0,0,1,20260328,20260405
O_0001_4,0,0,0,0,0,0,0,20260328,20260405
O_0001_5,0,0,1,0,0,0,0,20260328,20260405
O_0002_1,1,1,0,1,1,0,0,20260328,20260405
O_0002_2,0,0,0,0,0,1,0,20260328,20260405
O_0002_3,0,0,0,0,0,0,1,20260328,20260405
O_0002_4,0,0,0,0,0,0,0,20260328,20260405
O_0002_5,0,0,1,0,0,0,0,20260328,20260405
