table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ko,카미자이치,,,上在地
stops,stop_name,ja-Hrkt,かみざいち,,,上在地
stops,stop_name,ja,上堀川,,,上堀川
stops,stop_name,en,Kamihorikawa,,,上堀川
stops,stop_name,zh-cn,上堀川,,,上堀川
stops,stop_name,zh-tw,上堀川,,,上堀川
stops,stop_name,ko,가미호리카와,,,上堀川
stops,stop_name,ja-Hrkt,かみほりかわ,,,上堀川
stops,stop_name,ja,上橋,,,上橋
stops,stop_name,en,Kanbashi,,,上橋
stops,stop_name,zh-cn,上桥,,,上橋
stops,stop_name,zh-tw,上橋,,,上橋
stops,stop_name,ko,칸바시,,,上橋
stops,stop_name,ja-Hrkt,かんばし,,,上橋
stops,stop_name,ja,上終町・瓜生山学園京都芸術大学前,,,上終町・瓜生山学園京都芸術大学前
stops,stop_name,en,Kamihatecho / Uryuyamagakuen Kyoto Geijutsudaigaku-mae(Kyoto Univ. of the Arts),,,上終町・瓜生山学園京都芸術大学前
stops,stop_name,zh-cn,上终町・瓜生山学园 京都艺术大学前,,,上終町・瓜生山学園京都芸術大学前
stops,stop_name,zh-tw,上終町・瓜生山學園 京都藝術大學前,,,上終町・瓜生山学園京都芸術大学前
stops,stop_name,ko,카미하테초・우류우야마가쿠엔 교토게이주쓰다이가쿠마에 （교토예술대학）,,,上終町・瓜生山学園京都芸術大学前
stops,stop_name,ja-Hrkt,かみはてちょう・うりゅうやまがくえん きょうとげいじゅつだいがくまえ,,,上終町・瓜生山学園京都芸術大学前
stops,stop_name,ja,上賀茂御薗橋,,,上賀茂御薗橋
stops,stop_name,en,Kamigamo Misonobashi,,,上賀茂御薗橋
stops,stop_name,zh-cn,上贺茂御园桥,,,上賀茂御薗橋
stops,stop_name,zh-tw,上賀茂禦園橋,,,上賀茂御薗橋
stops,stop_name,ko,가미가모미소노바시,,,上賀茂御薗橋
stops,stop_name,ja-Hrkt,かみがもみそのばし,,,上賀茂御薗橋
stops,stop_name,ja,上賀茂橋,,,上賀茂橋
stops,stop_name,en,Kamigamobashi,,,上賀茂橋
stops,stop_name,zh-cn,上贺茂桥,,,上賀茂橋
stops,stop_name,zh-tw,上賀茂橋,,,上賀茂橋
stops,stop_name,ko,가미가모바시,,,上賀茂橋
stops,stop_name,ja-Hrkt,かみがもばし,,,上賀茂橋
stops,stop_name,ja,上長谷,,,上長谷
stops,stop_name,en,Kaminagatani,,,上長谷
stops,stop_name,zh-cn,上长谷,,,上長谷
stops,stop_name,zh-tw,上長谷,,,上長谷
stops,stop_name,ko,카미나가타니,,,上長谷
stops,stop_name,ja-Hrkt,かみながたに,,,上長谷
stops,stop_name,ja,上高野,,,上高野
stops,stop_name,en,Kamitakano,,,上高野
stops,stop_name,zh-cn,上高野,,,上高野
stops,stop_name,zh-tw,上高野,,,上高野
stops,stop_name,ko,가미타카노,,,上高野
stops,stop_name,ja-Hrkt,かみたかの,,,上高野
stops,stop_name,ja,下の町,,,下の町
stops,stop_name,en,Shimonocho,,,下の町
stops,stop_name,zh-cn,下町,,,下の町
stops,stop_name,zh-tw,下町,,,下の町
stops,stop_name,ko,시모노초,,,下の町
stops,stop_name,ja-Hrkt,しものちょう,,,下の町
stops,stop_name,ja,下岸町,,,下岸町
stops,stop_name,en,Shimogishicho,,,下岸町
stops,stop_name,zh-cn,下岸町,,,下岸町
stops,stop_name,zh-tw,下岸町,,,下岸町
stops,stop_name,ko,시모기시초,,,下岸町
stops,stop_name,ja-Hrkt,しもぎしちょう,,,下岸町
stops,stop_name,ja,下嵯峨,,,下嵯峨
stops,stop_name,en,Shimo-Saga,,,下嵯峨
stops,stop_name,zh-cn,下嵯峨,,,下嵯峨
stops,stop_name,zh-tw,下嵯峨,,,下嵯峨
stops,stop_name,ko,시모사가,,,下嵯峨
stops,stop_name,ja-Hrkt,しもさが,,,下嵯峨
stops,stop_name,ja,下鳥田町,,,下鳥田町
stops,stop_name,en,Shimotoridacho,,,下鳥田町
stops,stop_name,zh-cn,下鸟田町,,,下鳥田町
stops,stop_name,zh-tw,下鳥田町,,,下鳥田町
stops,stop_name,ko,시모토리다초,,,下鳥田町
stops,stop_name,ja-Hrkt,しもとりだちょう,,,下鳥田町
stops,stop_name,ja,下鴨東本町,,,下鴨東本町
stops,stop_name,en,Shimogamo Higashihonmachi,,,下鴨東本町
stops,stop_name,zh-cn,下鸭东本町,,,下鴨東本町
stops,stop_name,zh-tw,下鴨東本町,,,下鴨東本町
stops,stop_name,ko,시모가모히가시혼마치,,,下鴨東本町
stops,stop_name,ja-Hrkt,しもがもひがしほんまち,,,下鴨東本町
stops,stop_name,ja,中ノ橋五条,,,中ノ橋五条
stops,stop_name,en,Nakanohashi Gojo,,,中ノ橋五条
stops,stop_name,zh-cn,中之桥五条,,,中ノ橋五条
stops,stop_name,zh-tw,中之橋五條,,,中ノ橋五条
stops,stop_name,ko,나카노하시고조,,,中ノ橋五条
stops,stop_name,ja-Hrkt,なかのはしごじょう,,,中ノ橋五条
stops,stop_name,ja,丸太町七本松,,,丸太町七本松
stops,stop_name,en,Marutamachi Shichihonmatsu,,,丸太町七本松
stops,stop_name,zh-cn,丸太町七本松,,,丸太町七本松
stops,stop_name,zh-tw,丸太町七本松,,,丸太町七本松
stops,stop_name,ko,마루타마치시치혼마쓰,,,丸太町七本松
stops,stop_name,ja-Hrkt,まるたまちしちほんまつ,,,丸太町七本松
stops,stop_name,ja,丸太町御前通,,,丸太町御前通
stops,stop_name,en,Marutamachi Onmaedori,,,丸太町御前通
stops,stop_name,zh-cn,丸太町御前通,,,丸太町御前通
stops,stop_name,zh-tw,丸太町禦前通,,,丸太町御前通
stops,stop_name,ko,마루타마치온마에도오리,,,丸太町御前通
stops,stop_name,ja-Hrkt,まるたまちおんまえどおり,,,丸太町御前通
stops,stop_name,ja,丸太町智恵光院,,,丸太町智恵光院
stops,stop_name,en,Marutamachi Chiekoin,,,丸太町智恵光院
stops,stop_name,zh-cn,丸太町智恵光院,,,丸太町智恵光院
stops,stop_name,zh-tw,丸太町智恵光院,,,丸太町智恵光院
stops,stop_name,ko,마루타마치치에코인,,,丸太町智恵光院
stops,stop_name,ja-Hrkt,まるたまちちえこういん,,,丸太町智恵光院
stops,stop_name,ja,九頭龍弁天前,,,九頭龍弁天前
stops,stop_name,en,Kuzuryu Benten-mae,,,九頭龍弁天前
