route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
S0500,2000020261009,"市バス南５","市バス南５号系統","",3,,0000FF,FFFFFF
S0600,2000020261009,"市バス南６","市バス南６号系統","",3,,0000FF,FFFFFF
S0800,2000020261009,"市バス南８","市バス南８号系統","",3,,000000,FFFFFF
S0883,2000020261009,"市バス伏見港南８","市バス特南８号系統（往路）","",3,,000000,FFFFFF
W0100,2000020261009,"市バス西１","市バス西１号系統","",3,,000000,FFFFFF
W0200,2000020261009,"市バス西２","市バス西２号系統","",3,,000000,FFFFFF
W028D,2000020261009,"市バス西２","市バス西２Ｄ往路号系統（西４Ｄ号復路号系統から連続運行）","",3,,000000,FFFFFF
W029D,2000020261009,"市バス西２（→西４）","市バス西２Ｄ復路・西２Ｂ入→西４Ｄ往路号系統","",3,,000000,FFFFFF
W0300,2000020261009,"市バス西３","市バス西３号系統","",3,,000000,FFFFFF
W0393,2000020261009,"市バス特西３","市バス特西３号系統","",3,,000000,FFFFFF
W038D,2000020261009,"市バス西３","市バス西３Ｄ往路号系統（特西４Ｄ復路号系統から連続運行）","",3,,000000,FFFFFF
W039D,2000020261009,"市バス西３（→特西４）","市バス西３Ｄ復路～特西４Ｄ往路号系統","",3,,000000,FFFFFF
W0403,2000020261009,"市バス特西４","市バス特西４号系統","",3,,000000,FFFFFF
W048D,2000020261009,"市バス西４","市バス西４Ｄ往路号系統（西２Ｄ復路号系統から連続運行）","",3,,000000,FFFFFF
W049D,2000020261009,"市バス西４（→西２）","市バス西４Ｄ復路→西２Ｄ往路号系統","",3,,000000,FFFFFF
W048E,2000020261009,"市バス特西４","市バス特西４Ｄ往路号系統（西３Ｄ復路号系統から連続運行）","",3,,000000,FFFFFF
W049E,2000020261009,"市バス特西４（→西３）","市バス特西４Ｄ復路→西３Ｄ往路号系統","",3,,000000,FFFFFF
W0500,2000020261009,"市バス西５","市バス西５号系統","",3,,000000,FFFFFF
W0583,2000020261009,"市バス特西５","市バス特西５往路号系統（特西６復路号系統から連続運行）","",3,,000000,FFFFFF
W0593,2000020261009,"市バス特西５（→西６）","市バス特西５復路→特西６往路号系統","",3,,000000,FFFFFF
W0600,2000020261009,"市バス西６","市バス西６号系統","",3,,000000,FFFFFF
W0683,2000020261009,"市バス西６","市バス特西６往路号系統（特西５復路号系統から連続運行）","",3,,000000,FFFFFF
W0693,2000020261009,"市バス西６（→特西５）","市バス特西６復路→特西５往路号系統","",3,,000000,FFFFFF
W0800,2000020261009,"市バス西８","市バス西８号系統","",3,,000000,FFFFFF
W0900,2000020261009,"市バス西９","市バス西９号系統","",3,,000000,FFFFFF
