route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
00100,01001,00100_01001_3879,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3879,S_00100000,1,0
00100,01001,00100_01001_3885,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3885,S_00100000,1,0
00100,01001,00100_01001_3886,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3886,S_00100000,1,0
00100,01001,00100_01001_3887,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3887,S_00100000,1,0
00100,01001,00100_01001_3888,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3888,S_00100000,1,0
00100,01001,00100_01001_3895,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3895,S_00100000,1,0
00100,01001,00100_01001_3896,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3896,S_00100000,1,0
00100,01001,00100_01001_3902,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3902,S_00100000,1,0
00100,01001,00100_01001_3903,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3903,S_00100000,1,0
00100,01001,00100_01001_3909,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3909,S_00100000,1,0
00100,01001,00100_01001_3910,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3910,S_00100000,1,0
00100,01001,00100_01001_3913,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3913,S_00100000,1,0
00100,01001,00100_01001_3914,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_3914,S_00100000,1,0
00100,01001,00100_01001_4031,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4031,S_00100000,1,0
00100,01001,00100_01001_4043,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4043,S_00100000,1,0
00100,01001,00100_01001_4049,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4049,S_00100000,1,0
00100,01001,00100_01001_4118,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_01001_4118,S_00100000,1,0
00100,02001,00100_02001_14658,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14658,S_00100000,1,0
00100,02001,00100_02001_14659,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14659,S_00100000,1,0
00100,02001,00100_02001_14670,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14670,S_00100000,1,0
00100,02001,00100_02001_14673,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14673,S_00100000,1,0
00100,02001,00100_02001_14674,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14674,S_00100000,1,0
00100,02001,00100_02001_14675,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14675,S_00100000,1,0
00100,02001,00100_02001_14691,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14691,S_00100000,1,0
00100,02001,00100_02001_14694,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14694,S_00100000,1,0
00100,02001,00100_02001_14714,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14714,S_00100000,1,0
00100,02001,00100_02001_14715,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14715,S_00100000,1,0
00100,02001,00100_02001_14727,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14727,S_00100000,1,0
00100,02001,00100_02001_14728,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14728,S_00100000,1,0
00100,02001,00100_02001_14731,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14731,S_00100000,1,0
00100,02001,00100_02001_14732,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14732,S_00100000,1,0
00100,02001,00100_02001_14738,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14738,S_00100000,1,0
00100,02001,00100_02001_14739,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14739,S_00100000,1,0
00100,02001,00100_02001_14751,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14751,S_00100000,1,0
00100,02001,00100_02001_14753,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14753,S_00100000,1,0
00100,02001,00100_02001_14757,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14757,S_00100000,1,0
00100,02001,00100_02001_14758,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14758,S_00100000,1,0
00100,02001,00100_02001_14766,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14766,S_00100000,1,0
00100,02001,00100_02001_14767,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14767,S_00100000,1,0
00100,02001,00100_02001_14775,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14775,S_00100000,1,0
00100,02001,00100_02001_14776,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14776,S_00100000,1,0
00100,02001,00100_02001_14783,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14783,S_00100000,1,0
00100,02001,00100_02001_14784,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14784,S_00100000,1,0
00100,02001,00100_02001_14790,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14790,S_00100000,1,0
00100,02001,00100_02001_14791,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14791,S_00100000,1,0
00100,02001,00100_02001_14796,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14796,S_00100000,1,0
00100,02001,00100_02001_14797,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14797,S_00100000,1,0
00100,02001,00100_02001_14801,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14801,S_00100000,1,0
00100,02001,00100_02001_14802,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14802,S_00100000,1,0
00100,02001,00100_02001_14817,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14817,S_00100000,1,0
00100,02001,00100_02001_14818,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14818,S_00100000,1,0
00100,02001,00100_02001_14820,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14820,S_00100000,1,0
00100,02001,00100_02001_14823,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14823,S_00100000,1,0
00100,02001,00100_02001_14833,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14833,S_00100000,1,0
00100,02001,00100_02001_14834,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14834,S_00100000,1,0
00100,02001,00100_02001_14842,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14842,S_00100000,1,0
00100,02001,00100_02001_14843,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14843,S_00100000,1,0
00100,02001,00100_02001_14851,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14851,S_00100000,1,0
00100,02001,00100_02001_14852,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14852,S_00100000,1,0
00100,02001,00100_02001_14855,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14855,S_00100000,1,0
00100,02001,00100_02001_14856,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14856,S_00100000,1,0
00100,02001,00100_02001_14867,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14867,S_00100000,1,0
00100,02001,00100_02001_14868,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14868,S_00100000,1,0
00100,02001,00100_02001_15014,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_15014,S_00100000,1,0
00100,02001,00100_02001_15058,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_15058,S_00100000,1,0
00100,03001,00100_03001_9389,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9389,S_00100000,1,0
00100,03001,00100_03001_9394,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9394,S_00100000,1,0
00100,03001,00100_03001_9410,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9410,S_00100000,1,0
00100,03001,00100_03001_9411,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9411,S_00100000,1,0
00100,03001,00100_03001_9425,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9425,S_00100000,1,0
00100,03001,00100_03001_9426,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9426,S_00100000,1,0
00100,03001,00100_03001_9437,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9437,S_00100000,1,0
00100,03001,00100_03001_9438,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9438,S_00100000,1,0
00100,03001,00100_03001_9444,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9444,S_00100000,1,0
00100,03001,00100_03001_9445,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9445,S_00100000,1,0
00100,03001,00100_03001_9451,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9451,S_00100000,1,0
00100,03001,00100_03001_9452,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9452,S_00100000,1,0
